RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
VENTA Y REP. DE VEHICULOS AUTOMOTORES,CERRAJERIA AUTOMOTOR,51,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
SERVICIOS EMPRESARIALES,SERVICIOS (OTROS),263,remotoFull,Digital,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,5,3,2,0,1
SERVICIOS INMOBILIARIOS,ADMINISTRACION DE CONSORCIOS,38,remotoFull,No requiere,No se distribuyen,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,4,4,2,0,2
COMERCIO,KIOSCO + LOTERIA,14,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,1
FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,FABRICA DE BOLSAS,16,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,GOMERIA,243,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
COMERCIO,VIDRIOS Y ESPEJOS,136,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
VENTA Y REP. DE VEHICULOS AUTOMOTORES,CONCESIONARIA DE AUTOMOVILES,481,remotoNo,Infraestructura considerable,No se distribuyen,No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,1,2,4,5
FABRICACION DE PRODUCTOS METALICOS,ZINGUERIA,44,remotoHub,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,FERIA AMERICANA,127,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,2
VENTA Y REP. DE VEHICULOS AUTOMOTORES,"CAÑOS DE ESCAPE (COLOC., REPARAC.)",23,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
SERVICIOS DE SEGUROS Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,SEGUROS DE AUTOS,38,remotoFull,No requiere,Factible de manera eficiente,No requiere,No requiere,Agrega mucho valor,Público remoto considerable,,4,4,3,2,3
OTROS SERVICIOS,LAVADERO DE ROPA,1232,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,4
HOTELERIA Y GASTRONOMIA,COMIDA RAPIDA,535,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,MINIMERCADO,131,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,REGALOS,1121,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,MAXIKIOSCO + BAR,37,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO + INTERNET,209,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO,240,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
COMERCIO,COMPOSTURA DE CALZADO,495,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto incipiente,,1,2,2,4,4
COMERCIO,JUGUETERIA + LIBRERIA,32,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,PANADERIA (VENTA NO ELAB.),401,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,CARNICERIA + VERDULERIA,100,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,HELADERIA,722,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,INYECCION ELECTRONICA AUTOMOTOR,28,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
COMERCIO,ANTIGUEDADES,395,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,ALIMENTOS PARA MASCOTAS (VTA),473,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,CARNICERIA Y GRANJA,168,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
FABRICACION DE PRODUCTOS METALICOS,PRODUCTOS METALICOS,31,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto incipiente,,2,3,2,3,3
UNIFICADO,U GARAGE,171,viviendaSi,,,,,,,viviendaSi,,,,,
COMERCIO,FERIA DE ABASTECIMIENTO,4,remotoNo,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Sin público remoto,,1,2,3,3,4
COMERCIO,KIOSCO + LOCUTORIO,139,remotoNo,Infraestructura chica,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega algo de valor,Sin público remoto,,0,1,3,3,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",GIMNASIO,646,remotoNo,Maquinaria pesada,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,1,2,4,6
SERVICIOS EMPRESARIALES,SERVICIOS GRAFICOS,154,remotoHub,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,LIBRERIA + JUGUETERIA,87,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
OTROS SERVICIOS,INSTITUTO DE BELLEZA,25,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
COMERCIO,KIOSCO + REGALOS,24,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
HOTELERIA Y GASTRONOMIA,BAR Y PIZZERIA,71,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,TAPICERIA,336,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
COMERCIO,SANITARIOS,340,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,2,4,4,3
OTROS SERVICIOS,PELUQUERIA UNISEX,244,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
CONFECCION DE PRENDAS DE VESTIR,FABRICACION INDUMENTARIA,28,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
SERVICIO DE TRANSPORTE,FLETES,196,remotoHub,Maquinaria pesada,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
COMERCIO,CORTINAS PARA ENROLLAR,111,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
SERVICOS SOCIALES Y DE SALUD,GERIATRICO,513,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICOS SOCIALES Y DE SALUD,VETERINARIA (ATENCION),802,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega mucho valor,Público remoto incipiente,,0,1,3,5,5
COMERCIO,VERDULERIA + CARNICERIA,134,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
COMERCIO,VENTA DE AMOBLAMIENTOS DE COCINA,44,remotoComplex,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,TALLER ELECTRONICA AUTOMOTORES,172,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,"MOTOS, REPUESTOS Y ACCESORIOS",220,remotoMix,Maquinaria pesada,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
SERVICOS SOCIALES Y DE SALUD,ASISTENCIA SOCIAL,53,servicioSi,,,,,,,servicioSi,,,,,
COMERCIO,AIRE ACONDICIONADO (VENTA),70,remotoMix,Infraestructura chica,Fundamental,No puede trasladarse,Opcional,Agrega algo de valor,Público remoto considerable,,1,4,6,2,3
COMERCIO,RELOJERIA Y JOYERIA,165,remotoComplex,Herramientas manuales,"Factible, no eficiente",Opcional,Presencial,No agrega valor,Público remoto incipiente,,1,2,3,4,3
COMERCIO,VENTILADORES DE TECHO,23,remotoComplex,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,ABERTURAS,126,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,ESTACION DE SERVICIOS,288,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada un bien,No requiere,Agrega mucho valor,Sin público remoto,,1,1,1,3,5
COMERCIO,REPARACION DE ART. ELECTRONICOS,170,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
"VENTA AL POR MAYOR DE MAQUINAS, EQUIPOS Y MATERIALES CONEXOS",EQUIPOS INFORMATICOS Y ELECTRONICOS,11,remotoMix,Infraestructura chica,Fundamental,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,I DEPORTIVA,401,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,ELECTRICIDAD DE AUTOMOTORES,72,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,COLOCACION CRISTALES AUTOMOTORES,10,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Público remoto incipiente,,1,2,2,4,4
OTROS SERVICIOS,FUNERARIA,42,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Es excluyente,Sin público remoto,,1,2,1,3,5
COMERCIO,VENTA DE CAFE,10,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,REPARACION DE ELECTRODOMESTICOS,277,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,REPARACION DE AUDIO Y VIDEO,206,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
SERVICOS SOCIALES Y DE SALUD,CONSULTORIO ODONTOLOGICO,193,remotoNo,Maquinaria liviana,No se distribuyen,Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,2,2,3,5
SERVICIOS DE ASOCIACIONES,ASOCIACIONES (OTRAS),457,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,Es excluyente,Público remoto potencial,,3,2,1,2,2
COMERCIO,MATERIALES ELECTRICOS,237,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,No agrega valor,Público remoto potencial,,3,4,2,3,2
HOTELERIA Y GASTRONOMIA,RESTAURANTE - PARRILLA,92,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
HOTELERIA Y GASTRONOMIA,ROTISERIA,374,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,CERRAJERIA,664,remotoHub,Herramientas manuales,"Factible, no eficiente",Opcional,No requiere,No agrega valor,Público remoto considerable,,3,4,3,2,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS","PRODUCTORA TV, CINE, VIDEO",26,remotoHub,Infraestructura considerable,Fundamental,No puede trasladarse,Opcional,No agrega valor,Público remoto considerable,,2,4,4,2,3
ENSEÑANZA,COLEGIO PRIMARIO Y SECUNDARIO,198,remotoNo,Infraestructura considerable,Factible de manera eficiente,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,1,2,5,6
COMERCIO POR MAYOR,MAQUINAS Y HERRAMIENTAS,192,remotoMix,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,ARTESANIAS,82,remotoHub,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,1
SERVICIOS INMOBILIARIOS,SALON DE EVENTOS,250,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,MAXIKIOSCO + LIBRERIA,79,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",TEATRO,103,remotoComplex,Infraestructura chica,"Factible, no eficiente",Performance,Opcional,Es excluyente,Público remoto incipiente,,0,1,2,5,5
COMERCIO,ELECTRODOMESTICOS,187,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CLUB,435,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
ELABORACION DE PRODUCTOS ALIMENTICIOS NCP,ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,39,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
COMERCIO POR MAYOR,EQUIP. GASTRONOMICO,66,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
HOTELERIA Y GASTRONOMIA,CONFITERIA BAR,36,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
SERVICIOS DE ASOCIACIONES,ACTIVIDADES RELIGIOSAS,431,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,0,1,3,5
SERVICIOS DE SEGUROS Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,MEDICINA PREPAGA,69,remotoFull,Infraestructura chica,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,4,4,3,1,2
COMERCIO,BICICLETAS (REPARACION),81,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",MUSEO,61,remotoNo,Infraestructura considerable,No se distribuyen,Performance,,Es excluyente,Sin público remoto,,0,0,0,3,5
SERVICIOS EMPRESARIALES,AGENCIA DE EMPLEO,20,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,No agrega valor,Público remoto potencial,,4,3,1,1,1
OTROS SERVICIOS,PODOLOGIA,107,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
COMERCIO,HOBIES,8,remotoNo,Herramientas manuales,No se distribuyen,No requiere,Presencial,Es excluyente,Sin público remoto,,1,2,2,3,4
COMERCIO,CERRAMIENTOS,71,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Presencial,Agrega algo de valor,Público remoto potencial,,0,2,6,4,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,VENTA DE AUTOMOTORES USADOS,92,remotoComplex,Infraestructura considerable,"Factible, no eficiente",No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,1,2,5,5
"ALQUILER DE MAQUINARIA Y EQUIPO, ALQUILER DE EFECTOS PERSONALES",VIDEO CLUB,110,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,Agrega mucho valor,Público remoto potencial,,2,3,3,4,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",ESTUDIO DE TV,19,remotoFull,Infraestructura considerable,No se distribuyen,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,4,1,1,3
COMERCIO,INSUMOS PC,563,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,POLARIZADO DE VIDRIOS,41,remotoMix,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,4,4,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",BIBLIOTECA,62,servicioSi,,,,,,,servicioSi,,,,,
COMERCIO,INSTRUMENTOS MUSICALES,125,remotoComplex,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,3,4,5,5
EDIFICIOS,DEPARTAMENTOS,1852,viviendaSi,,,,,,,viviendaSi,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,VENTA DE AUTOMOTORES,108,remotoComplex,Infraestructura considerable,"Factible, no eficiente",No requiere,Presencial,Agrega mucho valor,Público remoto incipiente,,1,1,2,5,5
COMERCIO,DIARIOS Y REVISTAS (VENTA),324,remotoMix,Herramientas manuales,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,2
SERVICIOS DE ASOCIACIONES,LOCAL PARTIDARIO,328,asociacionesOtras,,,,,,,asociacionesOtras,,,,,
SERVICIOS EMPRESARIALES,FOTOCOPIAS,252,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,4
COMERCIO,OBRAS DE ARTE,27,remotoNo,Infraestructura considerable,Factible de manera eficiente,Opcional,Presencial,Agrega mucho valor,Sin público remoto,,0,1,4,4,5
VENTA Y REP. DE VEHICULOS AUTOMOTORES,REPARACION DE MOTOS,36,remotoComplex,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,4
SERVICIOS DE SEGUROS Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,ART,112,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,4,3,2,0,2
COMERCIO,QUESERIA,82,remotoMix,Maquinaria liviana,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,2,3,3,3
SERVICIOS DE SEGUROS Y DE ADMINISTRACION DE FONDOS DE JUBILACIONES Y PENSIONES,SEGUROS,247,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,Agrega algo de valor,Público remoto considerable,,4,3,2,0,2
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",OBRA SOCIAL,120,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
COMERCIO,FARMACIA Y PERFUMERIA,226,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,JUGUETERIA,464,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,PAN Y FACTURAS (VENTA NO ELAB.),168,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,VINOS (VENTA),254,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,GALERIA DE ARTE,122,remotoNo,Infraestructura considerable,Factible de manera eficiente,Opcional,Opcional,Es excluyente,Sin público remoto,,0,1,3,3,4
UNIFICADO,UNIFICADO EP,120,espacioPublico,,,,,,,espacioPublico,,,,,
COMERCIO,MAXIKIOSCO + INTERNET,30,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,Opcional,Agrega algo de valor,Sin público remoto,,0,1,3,2,4
COMERCIO,OPTICA Y FOTOGRAFIA,27,remotoHub,Herramientas manuales,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto incipiente,,2,4,3,4,3
COMERCIO,COLCHONES (VENTA),231,remotoComplex,Infraestructura considerable,Fundamental,No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO + INTERNET + KIOSCO,31,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,Opcional,Agrega algo de valor,Sin público remoto,,0,1,3,2,4
COMERCIO,PLATERIA,14,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto incipiente,,2,4,3,3,3
ENSEÑANZA,COLEGIO PRIMARIO,325,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
FABRICACION DE PRODUCTOS MINERALES NO METALICOS,VIDRIERIA,282,remotoMix,Infraestructura chica,Fundamental,Opcional,Opcional,No agrega valor,Público remoto incipiente,,1,3,4,3,3
COMERCIO,PAÑALERA,117,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
EDICION E IMPRESIÓN,AVISOS CLASIFICADOS,59,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto considerable,,6,4,1,0,1
ENSEÑANZA,ESCUELA DE MUSICA,43,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto incipiente,,0,0,1,5,6
HOTELERIA Y GASTRONOMIA,SANDWICHERIA,113,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,ILUMINACION,314,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
SERVICIOS EMPRESARIALES,DISEÑO GRAFICO,100,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,4,2,2,1,0
SERVICIOS EMPRESARIALES,DECORACION DE INTERIORES,85,remotoMix,Herramientas manuales,Fundamental,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,2
OTROS SERVICIOS,TINTORERIA,490,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,2,3,4,3
COMERCIO,BLANCO,327,sinUso,,,,,,,sinUso,,,,,
COMERCIO,PISOS DE MADERA (VTA Y COLOCACION),97,remotoMix,Infraestructura considerable,Fundamental,No puede trasladarse,Opcional,Agrega algo de valor,Público remoto considerable,,1,3,5,2,3
SERVICOS SOCIALES Y DE SALUD,PRACTICAS MEDICAS,11,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICIOS DE ASOCIACIONES,CENTRO CULTURAL,267,remotoNo,Infraestructura chica,No se distribuyen,Performance,Opcional,Es excluyente,Sin público remoto,,0,1,2,3,5
COMERCIO,RELOJERIA,328,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Presencial,No agrega valor,Público remoto incipiente,,1,2,2,5,5
FABRICACION DE MAQUINARIA Y EQUIPO NCP,MATAFUEGOS,49,remotoHub,Infraestructura chica,Factible de manera eficiente,Se traslada un bien,No requiere,No agrega valor,Público remoto considerable,,3,5,3,3,4
COMERCIO,ARTICULOS PARA EL HOGAR,152,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,ALFOMBRAS,66,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,3,4,4,4
ENSEÑANZA,ENSEÑANZA - TERCIARIO,116,remotoComplex,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,0,2,5,5
COMERCIO,ARREGLO DE ROPA,313,remotoComplex,Maquinaria liviana,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Público remoto incipiente,,1,2,2,4,4
"FABRICACION DE INSTRUMENTOS MEDICOS, OPTICOS Y DE PRECISION; FABRICACION DE RELOJES",FABRICACION DE INSTRUMENTOS MEDICOS Y RELOJES,10,remotoHub,Maquinaria pesada,Fundamental,No requiere,Presencial,No agrega valor,Público remoto considerable,,3,5,4,3,4
COMERCIO,ARTICULOS DE CUERO,99,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
